timestamp,run_type,scale_factor,completed_vehicles,avg_travel_time,avg_wait_time,throughput_vpm,total_system_wait_time
2025-07-15 19:13:36,fixed,0.5,30,38.93,17.33,10.00,519.81
2025-07-15 19:13:44,fixed,1.0,50,27.28,7.88,16.67,394.22
2025-07-15 19:13:59,fixed,3.0,140,38.20,14.23,46.67,1992.76
2025-07-15 19:15:11,fixed,4.0,180,32.07,14.56,60.00,2620.39
2025-07-15 19:15:19,fixed,5.0,230,30.01,12.51,76.67,2877.50
2025-07-15 19:15:25,fixed,6.0,270,39.77,17.76,90.00,4794.95
2025-07-15 19:15:31,fixed,7.0,320,26.29,10.92,106.67,3493.33
2025-07-15 19:15:43,fixed,8.0,360,33.62,13.81,120.00,4970.85
2025-07-15 19:16:00,fixed,9.0,410,41.10,16.15,136.67,6620.25
2025-07-15 19:16:07,fixed,10.0,450,32.61,15.17,150.00,6827.27
2025-07-15 19:25:24,fixed,25.0,1130,30.98,11.81,376.67,13349.89
2025-08-04 18:25:39,fixed,6.0,180,24.11,7.40,30.00,1331.26
2025-08-04 19:13:53,fixed,4.0,120,24.30,8.97,20.00,1076.76
2025-08-07 20:54:51,optimized,4.0,150,30.95,8.40,20.00,1260.43
2025-08-07 20:58:43,fixed,4.0,150,29.57,9.29,20.00,1392.89
2025-08-07 21:04:45,fixed,2.0,80,34.77,12.08,10.67,966.10
2025-08-07 21:14:03,optimized,2.0,80,26.68,5.36,10.67,429.19
2025-08-07 21:15:25,fixed,6.0,230,32.37,11.46,30.67,2634.78
2025-08-07 21:24:39,optimized,6.0,230,32.65,7.59,30.67,1745.18
2025-08-13 17:43:09,fixed,4.0,150,30.66,12.18,18.04,1827.43,20.00,0.00
2025-08-13 17:54:49,optimized,4.0,150,27.09,7.54,6.70,1131.09,20.00,0.00
