timestamp,run_type,scale_factor,completed_vehicles,avg_travel_time,avg_wait_time,throughput_vpm,total_system_wait_time
2025-07-15 19:13:36,fixed,0.5,30,38.93,17.33,10.00,519.81
2025-07-15 19:13:44,fixed,1.0,50,27.28,7.88,16.67,394.22
2025-07-15 19:13:59,fixed,3.0,140,38.20,14.23,46.67,1992.76
2025-07-15 19:15:11,fixed,4.0,180,32.07,14.56,60.00,2620.39
2025-07-15 19:15:19,fixed,5.0,230,30.01,12.51,76.67,2877.50
2025-07-15 19:15:25,fixed,6.0,270,39.77,17.76,90.00,4794.95
2025-07-15 19:15:31,fixed,7.0,320,26.29,10.92,106.67,3493.33
2025-07-15 19:15:43,fixed,8.0,360,33.62,13.81,120.00,4970.85
2025-07-15 19:16:00,fixed,9.0,410,41.10,16.15,136.67,6620.25
2025-07-15 19:16:07,fixed,10.0,450,32.61,15.17,150.00,6827.27
2025-07-15 19:25:24,fixed,25.0,1130,30.98,11.81,376.67,13349.89
